Date,Adj Close,Open,High,Low,Volume,
18/03/2016,32432,33094,33168,32432,7.41M,
21/03/2016,33241,32874,33536,32874,1.41M,
22/03/2016,33462,33241,33536,33021,893.48K,
23/03/2016,33389,33094,33536,32800,2.20M,
24/03/2016,33168,33389,33462,33094,693.55K,
25/03/2016,33683,33094,33830,33094,1.71M,
28/03/2016,34345,33903,34418,33756,1.12M,
29/03/2016,34418,34565,34859,34271,2.02M,
30/03/2016,34565,33756,34565,33756,884.83K,
31/03/2016,34712,34124,35006,34124,1.90M,
1/4/2016,34712,34712,34859,34418,745.71K,
4/4/2016,34639,34786,34786,34418,478.24K,
5/4/2016,34639,34639,34786,34197,440.26K,
6/4/2016,35006,34639,35006,34492,743.85K,
7/4/2016,34712,35006,35080,34639,393.96K,
8/4/2016,34933,34712,35006,34492,816.23K,
11/4/2016,37139,34933,37139,34933,1.75M,
12/4/2016,38242,38242,38610,37507,1.57M,
13/04/2016,38242,37875,38978,37139,1.10M,
14/04/2016,38610,37875,40081,37875,1.46M,
15/04/2016,38242,38610,40081,38242,2.11M,
19/04/2016,36551,38242,38242,36551,1.39M,
20/04/2016,37139,36551,37507,36551,1.93M,
21/04/2016,37875,37875,38610,37139,1.63M,
22/04/2016,40081,37875,40449,37875,2.35M,
25/04/2016,38610,40816,41184,38610,1.91M,
26/04/2016,39713,38610,40081,38610,985.15K,
27/04/2016,38978,40449,40449,38242,1.33M,
28/04/2016,38242,38978,39345,38242,707.86K,
29/04/2016,38610,38610,38978,38242,573.77K,
4/5/2016,37507,37875,38610,37507,1.03M,
5/5/2016,37875,37875,38978,37875,561.82K,
6/5/2016,38610,38242,38610,38242,1.11M,
9/5/2016,38242,38978,38978,38242,1.07M,
10/5/2016,38242,38242,38242,37507,949.89K,
11/5/2016,39345,38242,39345,38242,1.18M,
12/5/2016,39345,39713,40081,39345,637.90K,
13/05/2016,39345,39345,39713,38978,1.08M,
16/05/2016,40449,39345,40816,38978,1.68M,
17/05/2016,40081,40816,40816,40081,704.73K,
18/05/2016,39345,40081,40081,39345,797.15K,
19/05/2016,39345,40081,40081,38978,848.40K,
20/05/2016,37875,39345,39713,37875,2.11M,
23/05/2016,38242,38242,38242,37139,1.92M,
24/05/2016,38242,38978,38978,37875,640.77K,
25/05/2016,38242,38242,38610,37875,385.67K,
26/05/2016,37507,38242,38242,37139,830.98K,
27/05/2016,37875,37507,38242,37507,522.06K,
30/05/2016,39345,38242,39713,38242,1.47M,
31/05/2016,38610,39345,39713,38610,569.39K,
1/6/2016,32517,32213,32517,31909,772.58K,
2/6/2016,32517,32517,32821,32213,840.53K,
3/6/2016,32821,32517,32821,32213,568.30K,
6/6/2016,32517,32821,33125,32213,486.70K,
7/6/2016,33125,32517,33125,32517,660.37K,
8/6/2016,33125,33125,34036,32821,1.75M,
9/6/2016,33125,33125,33429,32821,186.07K,
10/6/2016,32821,33125,33429,32821,280.74K,
13/06/2016,31909,32517,32517,31909,1.04M,
14/06/2016,32517,31909,32517,31909,457.74K,
15/06/2016,32517,32821,33125,32213,513.18K,
16/06/2016,32517,32517,32821,32213,749.20K,
17/06/2016,31605,32213,32517,31605,5.32M,
20/06/2016,32517,31909,32821,31605,381.15K,
21/06/2016,32821,32821,33125,32517,548.53K,
22/06/2016,31909,32821,32821,31909,764.40K,
23/06/2016,32213,32213,32517,31909,479.82K,
24/06/2016,31605,32213,32213,30025,1.88M,
27/06/2016,32653,32383,32990,32316,781.62K,
28/06/2016,32181,32653,32653,32181,614.44K,
29/06/2016,32383,32181,32721,32181,927.46K,
30/06/2016,33328,32721,34407,32518,1.21M,
1/7/2016,34407,34070,34744,33665,1.32M,
4/7/2016,34407,34744,35082,34407,681.52K,
5/7/2016,34407,34744,35419,34407,858.50K,
6/7/2016,34407,34407,34744,34070,783.61K,
7/7/2016,34744,34744,35082,34070,949.40K,
8/7/2016,34744,35082,35082,34407,1.07M,
11/7/2016,34407,34744,35082,34070,937.30K,
12/7/2016,35082,34407,35082,34407,1.48M,
13/07/2016,37106,35419,37106,35419,2.34M,
14/07/2016,36094,37106,37443,36094,1.44M,
15/07/2016,36768,36431,36768,35756,553.25K,
18/07/2016,36431,36768,36768,36094,770.49K,
19/07/2016,35082,36431,36768,34070,2.30M,
20/07/2016,33733,35082,35419,33733,1.77M,
21/07/2016,34070,34070,34744,33665,922.58K,
22/07/2016,33733,34070,34407,33463,931.99K,
25/07/2016,34070,34070,34407,33733,220.69K,
26/07/2016,34070,34070,34407,33598,394.49K,
27/07/2016,34407,34070,34407,33733,497.18K,
28/07/2016,35419,34744,35756,34407,783.61K,
29/07/2016,34407,35419,35419,34407,532.51K,
1/8/2016,34744,34744,35082,34070,682.80K,
2/8/2016,34407,34070,35082,34070,2.00M,
3/8/2016,33260,33733,34070,33058,1.80M,
4/8/2016,32046,33395,33463,32046,1.09M,
5/8/2016,30157,31371,31911,30022,2.73M,
8/8/2016,30157,30157,30697,28065,4.48M,
9/8/2016,30697,30022,30899,30022,1.23M,
10/8/2016,32788,30832,32788,30832,4.23M,
11/8/2016,33058,32788,33193,32518,2.91M,
12/8/2016,33058,33395,33395,32788,1.82M,
15/08/2016,33058,33058,33058,32721,805.60K,
16/08/2016,32316,33058,33058,32046,2.51M,
